x,y,z
9999586804.305033,7469897.525491285,0.0
9999583485.418497,7499896.285852917,0.0
9999580153.255684,7529895.036257062,0.0
9999576807.816584,7559893.7766638845,0.0
9999573449.101189,7589892.507033544,0.0
9999570077.10949,7619891.227326201,0.0
9999566691.841478,7649889.937502018,0.0
9999563293.297146,7679888.637521155,0.0
9999559881.476482,7709887.327343773,0.0
9999556456.379478,7739886.006930032,0.0
9999553018.006126,7769884.676240092,0.0
9999549566.356417,7799883.335234115,0.0
9999546101.430342,7829881.98387226,0.0
9999542623.22789,7859880.622114688,0.0
9999539131.749054,7889879.249921559,0.0
9999535626.993824,7919877.8672530325,0.0
9999532108.96219,7949876.474069268,0.0
9999528577.654144,7979875.070330427,0.0
9999525033.069677,8009873.655996667,0.0
9999521475.208778,8039872.231028149,0.0
9999517904.07144,8069870.795385031,0.0
9999514319.65765,8099869.3490274735,0.0
9999510721.967402,8129867.891915634,0.0
9999507111.000685,8159866.424009673,0.0
9999503486.75749,8189864.9452697495,0.0
9999499849.237808,8219863.455656022,0.0
9999496198.441628,8249861.955128649,0.0
9999492534.36894,8279860.44364779,0.0
9999488857.019737,8309858.921173602,0.0
9999485166.394009,8339857.387666245,0.0
9999481462.491743,8369855.843085876,0.0
9999477745.312933,8399854.287392654,0.0
9999474014.857567,8429852.720546735,0.0
9999470271.125635,8459851.14250828,0.0
9999466514.117128,8489849.553237444,0.0
9999462743.832037,8519847.952694386,0.0
9999458960.270351,8549846.340839263,0.0
9999455163.43206,8579844.717632234,0.0
9999451353.317154,8609843.083033454,0.0
9999447529.925623,8639841.437003082,0.0
9999443693.257458,8669839.779501274,0.0
9999439843.312647,8699838.110488188,0.0
9999435980.091183,8729836.42992398,0.0
9999432103.593052,8759834.737768805,0.0
9999428213.818247,8789833.033982823,0.0
9999424310.766756,8819831.318526188,0.0
9999420394.43857,8849829.591359057,0.0
9999416464.833677,8879827.852441587,0.0
9999412521.952068,8909826.101733932,0.0
9999408565.793732,8939824.33919625,0.0
9999404596.358658,8969822.564788695,0.0
9999400613.646837,8999820.778471425,0.0
9999396617.658258,9029818.980204595,0.0
9999392608.39291,9059817.16994836,0.0
9999388585.850782,9089815.347662874,0.0
9999384550.031866,9119813.513308294,0.0
9999380500.93615,9149811.666844774,0.0
9999376438.563622,9179809.80823247,0.0
9999372362.914272,9209807.937431535,0.0
9999368273.98809,9239806.054402126,0.0
9999364171.785065,9269804.159104396,0.0
9999360056.305185,9299802.2514985,0.0
9999355927.54844,9329800.331544593,0.0
9999351785.514822,9359798.399202827,0.0
9999347630.204317,9389796.45443336,0.0
9999343461.616915,9419794.497196341,0.0
9999339279.752604,9449792.527451927,0.0
9999335084.611372,9479790.54516027,0.0
9999330876.19321,9509788.550281523,0.0
9999326654.498108,9539786.542775841,0.0
9999322419.526052,9569784.522603378,0.0
9999318171.277035,9599782.489724286,0.0
9999313909.751041,9629780.444098717,0.0
9999309634.948063,9659778.385686824,0.0
9999305346.868086,9689776.31444876,0.0
9999301045.5111,9719774.230344681,0.0
9999296730.877096,9749772.133334735,0.0
9999292402.96606,9779770.023379076,0.0
9999288061.777983,9809767.900437856,0.0
9999283707.31285,9839765.764471227,0.0
9999279339.570652,9869763.61543934,0.0
9999274958.551376,9899761.453302348,0.0
9999270564.255013,9929759.278020402,0.0
9999266156.68155,9959757.089553654,0.0
9999261735.830975,9989754.887862254,0.0
9999257301.703276,10019752.672906354,0.0
9999252854.298443,10049750.444646105,0.0
9999248393.616463,10079748.20304166,0.0
9999243919.657326,10109745.948053166,0.0
9999239432.421019,10139743.679640776,0.0
9999234931.90753,10169741.39776464,0.0
9999230418.116846,10199739.102384908,0.0
9999225891.048958,10229736.79346173,0.0
9999221350.703852,10259734.470955258,0.0
9999216797.081516,10289732.13482564,0.0
9999212230.18194,10319729.785033025,0.0
9999207650.00511,10349727.421537565,0.0
9999203056.551014,10379725.044299409,0.0
9999198449.819641,10409722.653278705,0.0
9999193829.81098,10439720.248435603,0.0
